Company Name,Post,Job location,Company Rating,Post Date,Job location city
Cognizant Technology Solutions,Junior Data Analyst,"Kolkata, West Bengal+1 location",3.9 of stars rating,Posted1 day ago,Kolkata
"JPMorgan Chase Bank, N.A.",Finance Reference Data Operation - Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted1 day ago,Bengaluru
PT Commeasure Solutions Indonesia (Reddoorz),Data Analyst,India,3.8 of stars rating,PostedToday,Remote Job(based in India)
Yellow Class,Data Analyst,"Gurgaon, Haryana",4.0 of stars rating,PostedJust posted,Gurgaon
Wiley,HR Data Analyst,Remote in India,3.9 of stars rating,PostedToday,Remote in Remote Job(based in India)
Sciative Solutrions,Junior Data Analyst,"Navi Mumbai, Maharashtra",3.8 of stars rating,Posted1 day ago,Navi Mumbai
Michelin,Data Analyst,"Pune, Maharashtra",3.8 of stars rating,Posted1 day ago,Pune
Barclays,Data Analyst,"Pune, Maharashtra+1 location",4.2 of stars rating,Posted1 day ago,Pune
Deutsche Bank,Reference Data Analyst,"Bengaluru, Karnataka+1 location",3.9 of stars rating,Posted1 day ago,Bengaluru
NatWest Markets,Markets Data Management Analyst,"Chennai, Tamil Nadu",4.1 of stars rating,PostedJust posted,Chennai
Myntra.com,Data Analyst,"Bengaluru, Karnataka",4.4 of stars rating,Posted3 days ago,Bengaluru
Cognizant Technology Solutions,Data Analyst,"Mumbai, Maharashtra+2 locations",3.6 of stars rating,Posted3 days ago,Mumbai
Docon,Data Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted6 days ago,Bengaluru
ANZ Banking Group,Data Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted5 days ago,Bengaluru
United Nations Development Programme (UNDP),Intern-Data Analyst,"Guwahati, Assam",4.3 of stars rating,Posted8 days ago,Guwahati
ServiceNow,Data Informatics Analyst,"Temporarily Remote in Hyderabad, Telangana",4.0 of stars rating,PostedToday,Temporarily Remote in Hyderabad
Morningstar,Data Research Analyst,"Mumbai, Maharashtra",4.1 of stars rating,Posted1 day ago,Mumbai
BlackRock,Data Operations Analyst,"Gurgaon, Haryana+1 location",3.8 of stars rating,Posted1 day ago,Gurgaon
PT Commeasure Solutions Indonesia (Reddoorz),Bi Analyst,India,4.0 of stars rating,PostedToday,Remote Job(based in India)
Swiggy,Product Analyst View Jobs,"Bengaluru, Karnataka",3.7 of stars rating,PostedJust posted,Bengaluru
McKinsey & Company,Research Analyst - Performance Lens,"Gurgaon, Haryana",3.9 of stars rating,PostedToday,Gurgaon
Accenture,Analyst-Finance Data Maintenance,"Gurgaon, Haryana+1 location",4.0 of stars rating,Posted1 day ago,Gurgaon
Flipkart,Data Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted5 days ago,Bengaluru
Morgan Stanley,Data Analyst,"Bengaluru, Karnataka",4.3 of stars rating,Posted6 days ago,Bengaluru
Amadeus,Associate Data Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted6 days ago,Bengaluru
BT,Data Analyst,India,4.3 of stars rating,Posted20 days ago,Remote Job(based in India)
"JPMorgan Chase Bank, N.A.",Applied AI ML Analyst (Data Annotation),"Mumbai, Maharashtra",4.1 of stars rating,PostedJust posted,Mumbai
HP,Financial Analyst I - SP 1647,"Bengaluru, Karnataka",3.8 of stars rating,Posted5 days ago,Bengaluru
Accenture,Analyst-Data Visualization,"Gurgaon, Haryana+1 location",3.9 of stars rating,PostedToday,Gurgaon
Colgate-Palmolive,Data Analyst - Analytics,"Mumbai, Maharashtra",4.0 of stars rating,Posted13 days ago,Mumbai
Shell,Data Analyst,"Bengaluru, Karnataka",3.9 of stars rating,PostedToday,Bengaluru
McKinsey & Company,"Data Delivery Analyst - MACRO - Social, Healthcare and Public Entities (SHaPE)","Gurgaon, Haryana",4.0 of stars rating,Posted1 day ago,Gurgaon
Facebook App,Global Security Protective Intelligence Analyst APAC,"Hyderabad, Telangana+1 location",3.9 of stars rating,Posted2 days ago,Hyderabad
NatWest Markets,Risk Market Data Analyst,"Gurgaon, Haryana+1 location",4.2 of stars rating,Posted9 days ago,Gurgaon
IBM,Data Analyst,"Ahmedabad, Gujarat",3.5 of stars rating,Posted4 days ago,Ahmedabad
Philips,Data Analyst - SQE,"Pune, Maharashtra",3.3 of stars rating,Posted6 days ago,Pune
Société Générale,Analyst - Client Referential Data,"Chennai, Tamil Nadu",3.9 of stars rating,Posted1 day ago,Chennai
TaskUS,Fraud and Risk Analyst,"Gurgaon, Haryana",3.8 of stars rating,Posted1 day ago,Gurgaon
